Title;Power;Type;Time;LocationLat;LocationLon
Great Southern Offshore wind farm;1500;Wind;2100;-38,2512;147,2318
Seadragon Offshore wind farm;1500;Wind;2100;-38,2512;147,2318
Hainan CZ7 Demonstration Offshore wind farm;1500;Wind;2100;19;108,3667
Hainan CZ9 Demonstration Offshore wind farm;1500;Wind;2100;18,7667;108,3667
Blackwater wind farm;1500;Wind;2100;51,83;-6,49
Codling wind farm;1500;Wind;2100;53,1;-5,78
Kagoshima Offshore wind farm;1500;Wind;2100;31,9284;130,1791
Hordavind wind farm;1500;Wind;2100;60,8574;5,7661
Baltex 5 Offshore wind farm;1500;Wind;2100;55,6;17,67
G8 offshore wind farm;1500;Wind;2100;34,0422;125,6067
Sinan (KEPCO) Wind Farm;1500;Wind;2100;34,963;126,002
Ulsan floating Offshore wind farm;1500;Wind;2100;35,5017;129,6139
Gotland Offshore wind farm;1500;Wind;2100;56,7998;17,7388
Skåne Sea wind farm;1500;Wind;2100;55,0895;13,6532
Karakalpakstan wind farm;1500;Wind;2100;42,4345;59,5891
Zarafshan wind farm;1500;Wind;2100;41,3122;69,2734
Murchinson Renewable Hydrogen Project solar farm;1500;Solar;2100;-27,6457;114,2369
Anhui Bengbu Wuhe (Yaoyang) solar farm;1500;Solar;2100;33,2967;117,8971
Xinjiang Hami (China Energy Engineering) solar farm;1500;Solar;2100;44,7063;94,0963
Soorya Bala Sangramaya Distributed solar farm;1500;Solar;2100;7,5555;80,7138
Al Ajban PV solar farm;1500;Solar;2100;24,5696;55,2786
Gold Dust Solar;1500;Solar;2100;37,6996;-117,2060
Baltica II Offshore wind farm;1489;Wind;2100;55,07;17,1
Kitty Hawk wind farm;1485;Wind;2100;36,406;-75,3222
Votu Winds Offshore wind farm;1440;Wind;2100;-21,2018;-40,6209
Huan Ya Floating wind farm;1435;Wind;2100;24,7262;120,6272
Seagreen wind farm;1435;Wind;2100;56,6355;-1,9266
Orycheio solar farm;1412;Solar;2100;40,4390;21,8580
Hunter Coast Offshore wind farm;1400;Wind;2100;-32,9305;151,7529
Moneypoint Offshore wind farm;1400;Wind;2100;52,44;-10,32
Hollandse Kust (West) wind farm;1400;Wind;2100;52,6932;3,8686
Vidar wind farm;1400;Wind;2100;58,6358;10,5108
Sofia wind farm;1400;Wind;2100;55,21;2,33
Phu Cuong Soc Trang Offshore wind farm;1400;Wind;2100;9,2501;105,9156
Morena solar park;1400;Solar;2100;26,4924;77,9935
Palmas Do Mar wind farm;1395;Wind;2100;-2,7782;-41,6801
Formosa 5 offshore wind farm;1358;Wind;2100;24,7831;120,3589
Coega Green Ammonia Plant solar farm;1350;Solar;2100;-33,6816;25,7272
Southern Rhodes wind farm;1340;Wind;2100;35,9792;27,755
Ishikari Bay - IBOWPG Offshore wind farm;1330;Wind;2100;43,3712;141,3069
Ulsan Offshore Floating wind farm;1320;Wind;2100;35,3738;130,1163
Korsnäs Offshore wind farm;1300;Wind;2100;62,7768;20,7977
Emerald wind farm;1300;Wind;2100;51,36;-8,08
Aomori Offshore wind farm;1300;Wind;2100;40,8107;140,2259
MunmuBaram offshore floating wind farm;1300;Wind;2100;35,2458;130,0961
Chu Tin Offshore wind farm;1300;Wind;2100;24,8087;120,8396
Urannah Renewable Energy Hub solar farm;1300;Solar;2100;-20,9393;148,4411
Hebei Zhangjiakou Heterojunction solar project;1300;Solar;2100;40,8769;114,2568
Fujian Ningde Xiapu Offshore wind farm;1296;Wind;2100;26,7976;120,1444
Dinawan Energy Hub wind farm;1250;Wind;2100;-34,9628;145,5793
Dinawan Energy Hub solar farm;1250;Solar;2100;-34,9628;145,5793
Ventos Litorâneos Offshore wind farm;1245;Wind;2100;-29,9961;-50,0033
Quesnelia Offshore wind farm;1240;Wind;2100;-21,1462;-40,513
Commonwealth wind farm;1232;Wind;2100;40,8343;-70,6149
Pomorze Offshore wind farm;1222;Wind;2100;54,3929;14,744
Dragão Do Mar Offshore wind farm;1216;Wind;2100;-2,5926;-40,3247
Goyder South wind farm;1212;Wind;2100;-33,7442;138,9809
Bei Neng Offshore wind farm;1204;Wind;2100;24,3339;120,1434
Mayflower wind farm;1204;Wind;2100;40,7547;-70,4216
Padre Garcia II solar farm;1203;Solar;2100;13,8733;121,2402
Forest Wind;1200;Wind;2100;-25,7283;152,6683
Cassino Offshore wind farm;1200;Wind;2100;-32,2001;-52,1436
Cattleya Offshore wind farm;1200;Wind;2100;-4,925;-36,1171
Costa Nordeste (Corio) Offshore wind farm;1200;Wind;2100;-2,9066;-38,9909
Guarita Offshore wind farm;1200;Wind;2100;-32,2001;-52,1436
Des Neiges wind farm;1200;Wind;2100;47,6605;-70,882
Guangdong Jieyang Qianzhan 1 Offshore wind farm;1200;Wind;2100;22,9344;116,431
Hainan CZ2 Demonstration Offshore wind farm;1200;Wind;2100;20,0667;109,2833
Kailia Energia wind farm;1200;Wind;2100;40,693;18,0245
Sepon wind farm;1200;Wind;2100;16,6989;106,2098
Idunn wind farm;1200;Wind;2100;56,7895;3,7692
Sonnavindar wind farm;1200;Wind;2100;57,1752;6,2038
Bulalacao offshore wind project;1200;Wind;2100;12,2677;121,2962
Baltic Power Offshore wind farm;1200;Wind;2100;55,05;17,65
Yeonggwang Offshore floating wind farm;1200;Wind;2100;35,2965;125,6899
Kattegat Syd wind farm;1200;Wind;2100;56,8303;11,9741
General Santos Solar Power Project;1200;Solar;2100;6,0839;125,1533
Kananga-Ormoc Solar Power Project;1200;Solar;2100;10,7462;125,0091
Naga (Camarines Sur) Solar Power Project;1200;Solar;2100;13,6353;123,2526
Rhyolite Ridge Solar Project;1200;Solar;2100;37,8067;-117,6420
Rio Grande Offshore wind farm;1170;Wind;2100;-32,2001;-52,1436
Fairybank wind farm;1160;Wind;2100;51,5886;2,7955
Noordhinder Noord wind farm;1160;Wind;2100;51,5954;2,8056
Noordhinder Zuid wind farm;1160;Wind;2100;51,5901;2,7975
KN Trị An solar farm;1160;Solar;2100;11,0001;107,1093
Bravo Vento Offshore wind farm;1155;Wind;2100;-32,1688;-52,0739
Lower Wonga solar farm;1150;Solar;2100;-26,0988;152,4498
Shandong Qingdao Jimo Offshore solar project;1150;Solar;2100;36,389800;120,442400
Santiago Do Cacem solar farm;1140;Solar;2100;38,7155;-9,1234
Poseidon Nord wind farm;1125;Wind;2100;57,994;10,8691
Gunsan wind farm;1110;Wind;2100;35,923;126,426
ACWA wind farm;1100;Wind;2100;26,254;29,2675
Loode-Eesti Meretuulepark wind farm;1100;Wind;2100;59,15;22,5
Taichung Offshore wind farm;1100;Wind;2100;24,4196;120,3058
Awel Y Môr wind farm;1100;Wind;2100;53,2754;-3,4814
Manah solar farm;1100;Solar;2100;22,7903;57,6096
Mid West Wind & Solar Project;1092;Wind;2100;-29,5386;114,599
Shandong Weifang Hanting Offshore solar project;1050;Solar;2100;36,776200;119,210300
Cyclades Islands wind farm;1047;Wind;2100;37,4752;24,4287
